Fixed/Offset Slit,1.9999765,1.9999765,1.9999765,1.9999765,1.9999765,2.00,2.00,2.00,1.9999765,1.9999765,1.9999765,1.9999765,1.9999765,1.9999765,1.9999765,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,
Detector,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,

542.00,6.11476719E+4,6.07674570E+4,6.27080781E+4,6.38897813E+4,6.46623750E+4,6.53832656E+4,6.66349375E+4,6.88888438E+4,6.92797109E+4,6.98104844E+4,7.22605938E+4,7.23153438E+4,7.40293516E+4,7.38194766E+4,7.78923359E+4,7.97812422E+4,8.06268438E+4,8.25826719E+4,8.38404141E+4,8.57658203E+4,8.80562422E+4,8.98310781E+4,9.19739688E+4,9.46187500E+4,9.94490000E+4,1.02983469E+5,1.06966609E+5,1.11719289E+5,1.13626445E+5,1.16070469E+5,1.20706047E+5,1.24518844E+5,1.26033609E+5,1.20426219E+5,
542.500,6.15057969E+4,6.15561836E+4,6.21593047E+4,6.25608750E+4,6.46725469E+4,6.52145938E+4,6.62177500E+4,6.83614922E+4,6.90485938E+4,6.96181094E+4,7.10594922E+4,7.13862500E+4,7.38277266E+4,7.37803906E+4,7.67623906E+4,7.99841094E+4,8.04482734E+4,8.25202500E+4,8.39723203E+4,8.57282266E+4,8.83193438E+4,8.99760156E+4,9.23793203E+4,9.53872734E+4,9.90655313E+4,1.02873578E+5,1.07429781E+5,1.11799719E+5,1.15674938E+5,1.18134734E+5,1.22887922E+5,1.27712867E+5,1.30082578E+5,1.24935461E+5,
543.00,6.08252344E+4,6.12744297E+4,6.31662578E+4,6.36691172E+4,6.48695195E+4,6.54858203E+4,6.72580703E+4,6.79157656E+4,6.81625938E+4,6.98934453E+4,7.13759375E+4,7.13100156E+4,7.33536250E+4,7.42964766E+4,7.67034219E+4,7.84618750E+4,8.02586484E+4,8.19281797E+4,8.32313047E+4,8.59877969E+4,8.75592109E+4,8.99538984E+4,9.19085781E+4,9.55266641E+4,9.93210625E+4,1.03664297E+5,1.08321813E+5,1.13105047E+5,1.16372047E+5,1.17678234E+5,1.22352625E+5,1.27647906E+5,1.31882297E+5,1.27773625E+5,
543.500,6.09935703E+4,6.05640469E+4,6.27239727E+4,6.35214375E+4,6.46144805E+4,6.48407891E+4,6.65065313E+4,6.75456953E+4,6.79798359E+4,6.97579609E+4,7.05492656E+4,7.20410469E+4,7.31525625E+4,7.37883828E+4,7.69659141E+4,7.86870781E+4,7.96384922E+4,8.17260547E+4,8.31362422E+4,8.45464219E+4,8.69495938E+4,8.90433125E+4,9.24086719E+4,9.43345859E+4,9.85897734E+4,1.02721797E+5,1.07344922E+5,1.12740883E+5,1.15926125E+5,1.18464750E+5,1.24932203E+5,1.31000930E+5,1.34834297E+5,1.31145641E+5,
544.00,6.10505938E+4,6.13381719E+4,6.27250156E+4,6.26739922E+4,6.41551484E+4,6.57692734E+4,6.58728594E+4,6.76585938E+4,6.82940469E+4,6.94489766E+4,6.97983906E+4,7.17433750E+4,7.27174141E+4,7.32137109E+4,7.52963047E+4,7.85415547E+4,7.91244297E+4,8.04788047E+4,8.21671406E+4,8.41183125E+4,8.60648438E+4,8.83314141E+4,9.09551406E+4,9.40952500E+4,9.74471875E+4,1.02158141E+5,1.07026773E+5,1.12366984E+5,1.15565859E+5,1.18573000E+5,1.24527008E+5,1.31772000E+5,1.34788438E+5,1.32126063E+5,
544.500,5.99339609E+4,6.07786953E+4,6.21094531E+4,6.34883516E+4,6.39930156E+4,6.55271992E+4,6.59852813E+4,6.70520625E+4,6.81048750E+4,6.96918438E+4,6.98471250E+4,7.10909297E+4,7.14946641E+4,7.36282266E+4,7.58487500E+4,7.83907109E+4,7.86158672E+4,7.97307891E+4,8.20180781E+4,8.36376719E+4,8.48178047E+4,8.73100703E+4,8.98116563E+4,9.27293906E+4,9.71968438E+4,1.01589750E+5,1.05873961E+5,1.11234281E+5,1.14606992E+5,1.18544922E+5,1.24863328E+5,1.31316813E+5,1.37430250E+5,1.34150703E+5,
545.00,6.01256523E+4,6.10848320E+4,6.19941016E+4,6.30967656E+4,6.41791563E+4,6.49589766E+4,6.54050352E+4,6.65591641E+4,6.74762344E+4,6.89610078E+4,7.12224844E+4,7.06126641E+4,7.09745078E+4,7.30800156E+4,7.53929609E+4,7.65970078E+4,7.90908750E+4,8.04992188E+4,8.08205078E+4,8.28324453E+4,8.48397031E+4,8.66800703E+4,8.91146719E+4,9.25942188E+4,9.63997422E+4,1.00857188E+5,1.05423820E+5,1.11153938E+5,1.14067336E+5,1.18234688E+5,1.24306367E+5,1.32717500E+5,1.37694313E+5,1.33018516E+5,
545.500,6.03253203E+4,6.04114805E+4,6.21973203E+4,6.25576211E+4,6.30730078E+4,6.43387578E+4,6.51705820E+4,6.66728828E+4,6.77381172E+4,6.87281641E+4,6.97918281E+4,7.00863438E+4,7.19473672E+4,7.16372031E+4,7.59232109E+4,7.66751406E+4,7.78563047E+4,7.91001250E+4,8.01340313E+4,8.10504531E+4,8.43041250E+4,8.57688281E+4,8.83990156E+4,9.13299922E+4,9.49001016E+4,9.95041250E+4,1.04802109E+5,1.09816563E+5,1.13120352E+5,1.17375031E+5,1.24302211E+5,1.30577711E+5,1.36911172E+5,1.33704500E+5,
546.00,5.96120352E+4,6.05229922E+4,6.17580625E+4,6.20082188E+4,6.35406484E+4,6.38505938E+4,6.60847344E+4,6.59242500E+4,6.68824063E+4,6.72143828E+4,6.90174219E+4,6.98371328E+4,7.14907031E+4,7.14560938E+4,7.41527891E+4,7.69202813E+4,7.70949219E+4,7.90206797E+4,8.00449219E+4,8.13004375E+4,8.23891875E+4,8.50072188E+4,8.72728125E+4,9.08537188E+4,9.40397188E+4,9.82704219E+4,1.04856391E+5,1.08383805E+5,1.12225891E+5,1.16730344E+5,1.22510766E+5,1.30432508E+5,1.35325563E+5,1.30245266E+5,
546.500,5.99107773E+4,6.00118984E+4,6.09377305E+4,6.12047383E+4,6.27072500E+4,6.35540898E+4,6.49175625E+4,6.60914531E+4,6.72827188E+4,6.76302969E+4,6.86493438E+4,6.90854063E+4,7.09197031E+4,7.20951641E+4,7.38267656E+4,7.53782500E+4,7.71983281E+4,7.77291875E+4,7.87640313E+4,8.06615234E+4,8.24247188E+4,8.42795469E+4,8.66462813E+4,8.91488828E+4,9.26136563E+4,9.71006484E+4,1.02241719E+5,1.06701852E+5,1.11381594E+5,1.14781594E+5,1.21926016E+5,1.28402133E+5,1.32498875E+5,1.27732250E+5,
547.00,5.97687148E+4,5.95942266E+4,6.00161719E+4,6.20386523E+4,6.23812813E+4,6.32711797E+4,6.42816250E+4,6.58012656E+4,6.60630000E+4,6.65309453E+4,6.86263906E+4,6.87866094E+4,7.01063750E+4,7.10692344E+4,7.28347422E+4,7.56265625E+4,7.66132188E+4,7.78124297E+4,7.89592969E+4,8.01696094E+4,8.21429219E+4,8.29186016E+4,8.61022266E+4,8.86339063E+4,9.21776094E+4,9.64271953E+4,1.00210430E+5,1.05843242E+5,1.09742273E+5,1.13092453E+5,1.20376563E+5,1.25819023E+5,1.28866234E+5,1.25352664E+5,
547.500,5.83295547E+4,5.93056719E+4,6.09505742E+4,6.06846484E+4,6.15588516E+4,6.31002500E+4,6.38375078E+4,6.55206250E+4,6.64728594E+4,6.66846406E+4,6.82132969E+4,6.81766719E+4,7.03120234E+4,6.97674375E+4,7.25763516E+4,7.50174375E+4,7.59553281E+4,7.72308047E+4,7.81129766E+4,7.88183828E+4,8.10174297E+4,8.30190156E+4,8.54409844E+4,8.74967188E+4,9.13741094E+4,9.51113594E+4,1.00378875E+5,1.05323141E+5,1.09205297E+5,1.11743516E+5,1.18612922E+5,1.25152734E+5,1.27638398E+5,1.22514203E+5,
548.00,5.84581563E+4,5.87858203E+4,6.02563008E+4,6.07613828E+4,6.21663359E+4,6.20784258E+4,6.37582969E+4,6.43624766E+4,6.50913203E+4,6.58121719E+4,6.77270000E+4,6.78356875E+4,7.03467031E+4,6.99551094E+4,7.26499375E+4,7.40468906E+4,7.47134063E+4,7.65435156E+4,7.76160156E+4,7.89794063E+4,8.05282109E+4,8.29625000E+4,8.47031094E+4,8.65476094E+4,8.95285391E+4,9.36538906E+4,9.93408281E+4,1.03739484E+5,1.07001727E+5,1.10826594E+5,1.16799633E+5,1.22208461E+5,1.23923492E+5,1.18930234E+5,
548.500,5.79142734E+4,5.83362266E+4,5.96823281E+4,5.98540000E+4,6.19381211E+4,6.20761016E+4,6.34671250E+4,6.41858984E+4,6.54742422E+4,6.59539531E+4,6.72294531E+4,6.76385781E+4,6.92606406E+4,6.98029219E+4,7.15003906E+4,7.43899219E+4,7.46514453E+4,7.60585078E+4,7.68960078E+4,7.80768594E+4,7.92240000E+4,8.16225938E+4,8.34740781E+4,8.57042031E+4,9.01708750E+4,9.29962266E+4,9.77212031E+4,1.02478273E+5,1.05661422E+5,1.10020594E+5,1.14928469E+5,1.19799453E+5,1.22613578E+5,1.15652063E+5,
549.00,5.81176172E+4,5.81272773E+4,5.94656641E+4,5.99810508E+4,6.12018672E+4,6.22487383E+4,6.26900391E+4,6.39269609E+4,6.46211172E+4,6.50591953E+4,6.69886641E+4,6.75539688E+4,6.80790234E+4,6.86701094E+4,7.18397188E+4,7.38851484E+4,7.45164922E+4,7.49996719E+4,7.69210781E+4,7.74976641E+4,7.96493906E+4,8.07655234E+4,8.35872500E+4,8.49723438E+4,8.87845859E+4,9.25420547E+4,9.66103672E+4,1.02232875E+5,1.05473367E+5,1.08713836E+5,1.13907953E+5,1.17929555E+5,1.19429000E+5,1.12672641E+5,
