Fixed/Offset Slit,5.9999781,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,
Detector,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,

475.500,1.37831958E+3,1.38973633E+3,1.39077429E+3,1.42606250E+3,1.33991760E+3,1.36482703E+3,1.38973633E+3,1.44474463E+3,1.58485986E+3,1.78413501E+3,2.10069189E+3,2.60510693E+3,3.05658960E+3,3.57034595E+3,3.99588135E+3,4.45151563E+3,4.90611182E+3,5.04830273E+3,5.39392090E+3,5.42609521E+3,5.60980225E+3,5.52054346E+3,5.52573291E+3,5.40118604E+3,5.14275098E+3,5.18738037E+3,4.99018115E+3,4.88950537E+3,4.66532129E+3,4.42764404E+3,4.48991748E+3,
475.7500,1.35335254E+3,1.39590417E+3,1.34712537E+3,1.38241223E+3,1.38241223E+3,1.32221704E+3,1.42911536E+3,1.48100769E+3,1.59309509E+3,1.81623230E+3,2.16702441E+3,2.68906152E+3,3.23912036E+3,3.66256201E+3,4.13893359E+3,4.54369434E+3,4.96402197E+3,5.36670703E+3,5.43001563E+3,5.72268848E+3,5.73929395E+3,5.90950098E+3,5.82439746E+3,5.83373779E+3,5.27745215E+3,5.32726855E+3,5.18508350E+3,4.86335107E+3,4.77202051E+3,4.60181348E+3,4.58520801E+3,
476.00,1.32112341E+3,1.33980383E+3,1.28272473E+3,1.34291724E+3,1.40726111E+3,1.34499292E+3,1.37093799E+3,1.42594153E+3,1.60133020E+3,1.86285669E+3,2.19080249E+3,2.67753223E+3,3.24624829E+3,3.69457910E+3,4.14498584E+3,4.71370166E+3,5.10806689E+3,5.31977881E+3,5.74527832E+3,5.87604150E+3,5.99954004E+3,6.03793896E+3,6.13237891E+3,5.81273535E+3,5.40384082E+3,5.55017139E+3,5.34572412E+3,5.27826660E+3,5.08108398E+3,4.82370898E+3,4.67530322E+3,
476.2500,1.20903174E+3,1.27960181E+3,1.28894202E+3,1.28686646E+3,1.36470105E+3,1.34186963E+3,1.31800024E+3,1.40725073E+3,1.55980664E+3,1.85038940E+3,2.30494385E+3,2.77714087E+3,3.16942749E+3,3.92390479E+3,4.35874121E+3,4.86207178E+3,5.17237305E+3,5.43908643E+3,5.74212256E+3,5.96732422E+3,5.84071289E+3,6.11261572E+3,6.30772119E+3,6.11676660E+3,5.77533203E+3,5.57711328E+3,5.60617139E+3,5.32285303E+3,5.18690186E+3,5.00528760E+3,4.81122021E+3,
476.500,1.38440955E+3,1.25053479E+3,1.22459009E+3,1.30346204E+3,1.27025281E+3,1.25883716E+3,1.32421777E+3,1.45290356E+3,1.59404272E+3,1.84311194E+3,2.38172412E+3,2.77504590E+3,3.41847461E+3,3.78273828E+3,4.34521924E+3,4.89109619E+3,5.23875488E+3,5.64037939E+3,5.86869238E+3,6.05653223E+3,6.27861914E+3,6.25993896E+3,6.47476074E+3,6.27861914E+3,5.87076807E+3,5.69849512E+3,5.63830371E+3,5.62273682E+3,5.33526953E+3,4.99279932E+3,4.90666309E+3,
476.7500,1.31279260E+3,1.29099915E+3,1.30864148E+3,1.22873230E+3,1.31071704E+3,1.34081262E+3,1.32109485E+3,1.40619287E+3,1.59299329E+3,2.04339014E+3,2.48444702E+3,3.03550854E+3,3.36759839E+3,3.92281104E+3,4.53406396E+3,4.92323145E+3,5.37466602E+3,5.69845361E+3,6.09073486E+3,6.29206445E+3,6.31178223E+3,6.41348438E+3,6.55462256E+3,6.43942920E+3,6.00563672E+3,5.87176318E+3,5.88629199E+3,5.65071582E+3,5.37881738E+3,5.29060596E+3,5.07163428E+3,
477.00,1.26400793E+3,1.23598804E+3,1.22768579E+3,1.36155859E+3,1.27334778E+3,1.32212317E+3,1.23702576E+3,1.39891846E+3,1.63864404E+3,1.99667578E+3,2.42112500E+3,3.06454443E+3,3.53984473E+3,4.24968164E+3,4.70422656E+3,4.94706543E+3,5.53755811E+3,5.76275537E+3,6.28164160E+3,6.24739502E+3,6.58363379E+3,6.47259229E+3,6.61891797E+3,6.54627393E+3,6.04087842E+3,6.11040918E+3,5.87794775E+3,5.82398389E+3,5.56557813E+3,5.46283887E+3,5.17952637E+3,
477.2500,1.25703052E+3,1.31308313E+3,1.30789307E+3,1.25495447E+3,1.23627039E+3,1.30893103E+3,1.32034912E+3,1.47708875E+3,1.71583105E+3,2.14037744E+3,2.47150269E+3,3.16800757E+3,3.77939575E+3,4.17695361E+3,4.82363428E+3,5.23053418E+3,5.79209766E+3,5.88863281E+3,6.11699512E+3,6.37338379E+3,6.61627783E+3,6.80727197E+3,6.73876318E+3,6.82595605E+3,6.16370557E+3,6.05782861E+3,5.93845703E+3,5.90420313E+3,5.59695166E+3,5.54608936E+3,5.17136768E+3,
477.500,1.26562109E+3,1.30715100E+3,1.26562109E+3,1.29365381E+3,1.25420044E+3,1.27081238E+3,1.39124878E+3,1.56567407E+3,1.75567297E+3,2.39523218E+3,2.62572266E+3,3.29227612E+3,3.81243701E+3,4.55062939E+3,4.77800537E+3,5.49231836E+3,5.73319092E+3,6.22531934E+3,6.37482666E+3,6.66034424E+3,6.62919678E+3,6.84307520E+3,6.94482324E+3,6.82334863E+3,6.11007422E+3,6.31253223E+3,6.17652197E+3,6.01040234E+3,5.73630566E+3,5.68024072E+3,5.49854736E+3,
477.7500,1.27629041E+3,1.26590564E+3,1.28252124E+3,1.22021252E+3,1.24202063E+3,1.27836731E+3,1.32094495E+3,1.55148718E+3,1.93468591E+3,2.33346167E+3,2.82570068E+3,3.63259863E+3,3.96283496E+3,4.45611230E+3,5.08750732E+3,5.52470703E+3,5.91829053E+3,6.29110400E+3,6.59537842E+3,6.76049658E+3,6.81242041E+3,6.84980566E+3,7.08865576E+3,7.01700098E+3,6.46972266E+3,6.34925879E+3,6.27968115E+3,6.11248584E+3,5.91621338E+3,5.70747900E+3,5.39905078E+3,
478.00,1.31708435E+3,1.24749084E+3,1.25060693E+3,1.29527148E+3,1.23191016E+3,1.29838757E+3,1.38563928E+3,1.61934900E+3,2.05249121E+3,2.38695581E+3,3.06731079E+3,3.69469165E+3,4.27740820E+3,4.77806641E+3,5.41271826E+3,5.60487939E+3,6.07541504E+3,6.36209912E+3,6.65086035E+3,6.82017041E+3,6.90638330E+3,7.00609961E+3,7.09854443E+3,6.91261572E+3,6.51375098E+3,6.32055078E+3,6.23226025E+3,6.10242188E+3,5.93103467E+3,5.83547314E+3,5.41271826E+3,
478.2500,1.25719836E+3,1.17096082E+3,1.24161328E+3,1.25927637E+3,1.26343250E+3,1.22291113E+3,1.45357068E+3,1.67280115E+3,2.16217334E+3,2.74713428E+3,3.23962354E+3,3.88796387E+3,4.53007031E+3,4.97580420E+3,5.39971924E+3,5.87662305E+3,6.24131445E+3,6.68393164E+3,6.76185693E+3,7.04238916E+3,6.98316553E+3,7.30941406E+3,7.35720801E+3,7.03199902E+3,6.38781445E+3,6.45015527E+3,6.32027930E+3,6.11143896E+3,5.95143164E+3,5.84649219E+3,5.71869434E+3,
478.500,1.38331055E+3,1.29808789E+3,1.28977344E+3,1.35732800E+3,1.26690881E+3,1.36252454E+3,1.51426257E+3,1.79383484E+3,2.31244629E+3,3.00046411E+3,3.58766968E+3,4.20085742E+3,4.96266553E+3,5.34408936E+3,5.77851758E+3,6.14539111E+3,6.67543506E+3,6.88953125E+3,6.92902441E+3,7.21795068E+3,7.14416016E+3,7.40918213E+3,7.46738281E+3,7.24081494E+3,6.49251807E+3,6.62866650E+3,6.46237793E+3,6.24412500E+3,6.12148730E+3,5.96974902E+3,5.83775781E+3,
478.7500,1.32860132E+3,1.40657092E+3,1.24959216E+3,1.31612622E+3,1.27142371E+3,1.34107642E+3,1.59161865E+3,1.95027869E+3,2.60834180E+3,3.13437646E+3,3.79243945E+3,4.71871777E+3,5.15118896E+3,5.68346143E+3,6.29682178E+3,6.56191846E+3,6.99750830E+3,7.09938867E+3,7.27196143E+3,7.23661523E+3,7.26156543E+3,7.25116943E+3,7.57344336E+3,7.37072266E+3,6.50162207E+3,6.58894775E+3,6.68355078E+3,6.20845654E+3,6.15855566E+3,6.05251709E+3,6.01613135E+3,
479.00,1.36848755E+3,1.29049634E+3,1.29465576E+3,1.23954199E+3,1.25721997E+3,1.42152173E+3,1.68669214E+3,2.13488232E+3,2.69849951E+3,3.37338428E+3,4.36855371E+3,5.00184277E+3,5.58625781E+3,6.18627100E+3,6.52943262E+3,6.83723877E+3,7.16792188E+3,7.31766504E+3,7.57243652E+3,7.45077002E+3,7.52980127E+3,7.58803516E+3,7.70970117E+3,7.64210889E+3,6.74884863E+3,6.58142725E+3,6.65421875E+3,6.65941846E+3,6.38904834E+3,6.05420557E+3,5.93981836E+3,
479.2500,1.28378955E+3,1.36493665E+3,1.29211230E+3,1.25882117E+3,1.36909802E+3,1.40342957E+3,1.76755139E+3,2.25859570E+3,3.08255127E+3,3.94187891E+3,4.62746826E+3,5.44830273E+3,6.21191846E+3,6.69151904E+3,7.01714795E+3,7.28139600E+3,7.45721484E+3,7.79220703E+3,7.71418115E+3,7.79012646E+3,7.72042334E+3,7.88167725E+3,7.95242090E+3,7.61950928E+3,6.82884473E+3,6.51049854E+3,6.64574365E+3,6.46472314E+3,6.29618652E+3,6.37733398E+3,5.88524902E+3,
479.500,1.32078601E+3,1.32703088E+3,1.27915369E+3,1.34888782E+3,1.31766357E+3,1.57058008E+3,1.99418909E+3,2.70922461E+3,3.67509497E+3,4.38388525E+3,5.38618408E+3,6.09289307E+3,6.77878564E+3,7.38765869E+3,7.70926855E+3,7.79045166E+3,7.88516504E+3,8.24632617E+3,8.12559229E+3,8.07042920E+3,7.88724707E+3,7.78628857E+3,8.13079590E+3,7.65722803E+3,7.02753906E+3,6.79023486E+3,6.62474609E+3,6.47799219E+3,6.36246240E+3,6.22195313E+3,6.11370898E+3,
479.7500,1.39113062E+3,1.31095325E+3,1.36926404E+3,1.32448962E+3,1.34531494E+3,1.65873584E+3,2.24705078E+3,3.02800000E+3,4.11195752E+3,5.01161084E+3,6.17678662E+3,7.08268750E+3,7.35966455E+3,7.96255713E+3,8.06980762E+3,8.22808008E+3,8.45507520E+3,8.38426953E+3,8.48943750E+3,8.63417285E+3,8.13853076E+3,8.28118457E+3,8.05731201E+3,7.98025879E+3,7.00667529E+3,6.93066309E+3,6.84527930E+3,6.59745801E+3,6.43814453E+3,6.26841797E+3,6.20073584E+3,
480.00,1.30631567E+3,1.32089966E+3,1.37715259E+3,1.35840161E+3,1.37611084E+3,1.75529651E+3,2.44387280E+3,3.51163477E+3,4.72315381E+3,5.85654443E+3,6.80659229E+3,7.56392188E+3,8.28375000E+3,8.56188867E+3,8.94211621E+3,9.07962305E+3,8.92753223E+3,9.06295508E+3,8.86294531E+3,8.49626074E+3,8.52126172E+3,8.47646777E+3,8.48688477E+3,8.07748926E+3,7.12223291E+3,7.05972998E+3,6.94722412E+3,6.60554004E+3,6.53782861E+3,6.37740381E+3,6.36698682E+3,
480.2500,1.40429370E+3,1.35842224E+3,1.42827197E+3,1.40220862E+3,1.49186658E+3,1.88907214E+3,2.76584351E+3,3.99603394E+3,5.36488184E+3,6.54294531E+3,7.69286084E+3,8.49561230E+3,8.96579492E+3,9.44640332E+3,9.47872168E+3,9.71850488E+3,9.63301758E+3,9.31504395E+3,9.24310938E+3,9.01375195E+3,9.00019922E+3,8.55712207E+3,8.68848145E+3,8.32776367E+3,7.20703955E+3,7.09444580E+3,7.01521338E+3,6.86508838E+3,6.76187744E+3,6.57317871E+3,6.21454688E+3,
480.500,1.39286426E+3,1.26140295E+3,1.43877136E+3,1.37199744E+3,1.60361975E+3,2.20875928E+3,3.23332324E+3,4.82129248E+3,6.33935840E+3,7.55694092E+3,8.79538965E+3,9.81995410E+3,1.02727656E+4,1.03520596E+4,1.06108086E+4,1.02456387E+4,1.04146602E+4,1.00035820E+4,9.92637500E+3,9.49860352E+3,9.36401270E+3,8.78704297E+3,8.90076758E+3,8.38639941E+3,7.44947607E+3,7.27106445E+3,7.08013232E+3,6.80990625E+3,6.63984131E+3,6.41760889E+3,6.32996826E+3,
480.7500,1.44405713E+3,1.47746985E+3,1.42839490E+3,1.47851404E+3,1.65393091E+3,2.31070020E+3,3.56994312E+3,5.30740576E+3,6.96864551E+3,8.41896777E+3,9.73459473E+3,1.07390654E+4,1.09625127E+4,1.13707744E+4,1.11556807E+4,1.11076494E+4,1.09374531E+4,1.06701514E+4,1.04237324E+4,9.97996973E+3,9.61973828E+3,9.14673926E+3,9.16135742E+3,8.76980176E+3,7.60557617E+3,7.21924121E+3,7.15868066E+3,6.96968994E+3,6.82455322E+3,6.56769287E+3,6.47998438E+3,
481.00,1.46710571E+3,1.48695972E+3,1.52248792E+3,1.43680225E+3,1.81611804E+3,2.67401953E+3,4.13381055E+3,6.17250244E+3,7.79948535E+3,9.53618750E+3,1.08204268E+4,1.17702842E+4,1.22175215E+4,1.22906680E+4,1.16605645E+4,1.19991279E+4,1.14912832E+4,1.12154170E+4,1.07932588E+4,1.02969082E+4,9.89773926E+3,9.60201855E+3,9.32406250E+3,8.97714063E+3,7.71275439E+3,7.32507910E+3,7.36060742E+3,7.01055029E+3,6.88620117E+3,6.67721191E+3,6.26445801E+3,
481.2500,1.47143713E+3,1.45470447E+3,1.47666614E+3,1.58229175E+3,1.85524487E+3,2.87698901E+3,4.89433252E+3,6.89389746E+3,9.02837012E+3,1.03408467E+4,1.17160703E+4,1.29563857E+4,1.31048896E+4,1.29187373E+4,1.30661953E+4,1.25568916E+4,1.22588389E+4,1.17579023E+4,1.12517363E+4,1.08804775E+4,1.03722207E+4,9.85873340E+3,9.68408594E+3,9.25426270E+3,7.77236768E+3,7.68556641E+3,7.29234668E+3,7.12188135E+3,6.82278320E+3,6.83114990E+3,6.52995996E+3,
481.500,1.59089612E+3,1.52077112E+3,1.56682336E+3,1.59717603E+3,2.04513879E+3,3.40786694E+3,5.58278955E+3,7.82783691E+3,9.78819824E+3,1.18814824E+4,1.31897852E+4,1.37497383E+4,1.44876211E+4,1.42960859E+4,1.39475537E+4,1.35665762E+4,1.29270781E+4,1.24519023E+4,1.19264883E+4,1.15245771E+4,1.06809834E+4,1.03020996E+4,1.00624180E+4,9.33709473E+3,7.84248975E+3,7.58082959E+3,7.28567627E+3,7.37464111E+3,7.09204736E+3,6.65873779E+3,6.50174121E+3,
481.7500,1.49056592E+3,1.59217163E+3,1.59112415E+3,1.68853992E+3,2.15676392E+3,3.76674292E+3,5.83656592E+3,8.52545020E+3,1.09514170E+4,1.27834619E+4,1.41368076E+4,1.48700449E+4,1.53466484E+4,1.51832412E+4,1.48878516E+4,1.43651592E+4,1.35523135E+4,1.29311572E+4,1.23749443E+4,1.17894023E+4,1.10697822E+4,1.06287930E+4,1.01836133E+4,9.69967676E+3,7.97238037E+3,7.79430859E+3,7.59423975E+3,7.41721533E+3,6.75939697E+3,6.83272070E+3,6.68083594E+3,
482.00,1.53578125E+3,1.46344751E+3,1.52110486E+3,1.68778687E+3,2.43838037E+3,4.11987744E+3,6.72808447E+3,9.35411328E+3,1.20891670E+4,1.36165615E+4,1.52141934E+4,1.59815596E+4,1.62918613E+4,1.62646045E+4,1.57970566E+4,1.52016133E+4,1.44845664E+4,1.39163799E+4,1.28806445E+4,1.22820566E+4,1.15042070E+4,1.09842432E+4,1.04548438E+4,1.00250352E+4,8.37813184E+3,8.11081201E+3,7.62753857E+3,7.46400146E+3,7.10652637E+3,6.97548682E+3,6.66937891E+3,
482.2500,1.56410510E+3,1.54732056E+3,1.60921338E+3,1.76237195E+3,2.68132300E+3,4.72378613E+3,7.43972705E+3,1.02763066E+4,1.30845625E+4,1.49298076E+4,1.63617344E+4,1.71883711E+4,1.76121797E+4,1.74244023E+4,1.66428750E+4,1.60040156E+4,1.52403203E+4,1.44073906E+4,1.35419395E+4,1.27341855E+4,1.22222588E+4,1.14470254E+4,1.09455879E+4,1.01546191E+4,8.47512012E+3,8.07543994E+3,7.74394580E+3,7.46385498E+3,7.21943066E+3,6.95507471E+3,6.76520020E+3,
482.500,1.59875671E+3,1.56726440E+3,1.59665723E+3,1.89478381E+3,2.93927686E+3,5.32638965E+3,8.13025000E+3,1.13288125E+4,1.41662646E+4,1.61828184E+4,1.78456094E+4,1.84975000E+4,1.86980000E+4,1.87441895E+4,1.80356133E+4,1.70614531E+4,1.61702217E+4,1.50816396E+4,1.43426211E+4,1.31049756E+4,1.25339160E+4,1.17770527E+4,1.13036191E+4,1.05047656E+4,8.52600195E+3,8.22157715E+3,7.90980420E+3,7.81112842E+3,7.35554053E+3,7.07210986E+3,6.81702295E+3,
482.7500,1.61558887E+3,1.54941064E+3,1.60823572E+3,1.95593396E+3,3.39714844E+3,5.88250830E+3,9.01494434E+3,1.24604131E+4,1.53102783E+4,1.75981543E+4,1.92778203E+4,1.97463203E+4,1.98849785E+4,1.97473691E+4,1.86822168E+4,1.79427012E+4,1.66979199E+4,1.59563037E+4,1.45371484E+4,1.37072949E+4,1.29037021E+4,1.20864531E+4,1.17797227E+4,1.08773877E+4,8.97187598E+3,8.45295410E+3,8.14727393E+3,7.86260254E+3,7.42351514E+3,7.23758594E+3,6.69765576E+3,
483.00,1.62717896E+3,1.52731982E+3,1.65240662E+3,2.13593530E+3,3.79780200E+3,6.80303760E+3,1.02297842E+4,1.34999092E+4,1.68015684E+4,1.87514512E+4,2.05299961E+4,2.12615957E+4,2.13383281E+4,2.08148574E+4,1.97941914E+4,1.90079316E+4,1.75552422E+4,1.66029023E+4,1.55086553E+4,1.44554043E+4,1.34210732E+4,1.22238145E+4,1.20587842E+4,1.09445654E+4,9.00099023E+3,8.55320117E+3,8.23470313E+3,7.73225342E+3,7.58614404E+3,7.07423438E+3,6.94494287E+3,
483.2500,1.54632092E+3,1.50950378E+3,1.55894397E+3,2.45728271E+3,4.45803271E+3,7.76842188E+3,1.15258770E+4,1.53317197E+4,1.82813008E+4,2.06176133E+4,2.22964746E+4,2.32126973E+4,2.27908770E+4,2.21702441E+4,2.08911113E+4,2.00863926E+4,1.85705781E+4,1.72903926E+4,1.60428164E+4,1.49793262E+4,1.39063691E+4,1.28618135E+4,1.23937100E+4,1.14006982E+4,9.12539746E+3,8.65203418E+3,8.31647168E+3,8.11660693E+3,7.42128857E+3,7.41602881E+3,7.02681885E+3,
483.500,1.51796960E+3,1.59797351E+3,1.68429358E+3,2.83277124E+3,5.37184375E+3,9.17203125E+3,1.33617119E+4,1.72440078E+4,2.06368066E+4,2.25979570E+4,2.42969883E+4,2.50917637E+4,2.48949121E+4,2.39253906E+4,2.24926875E+4,2.14252676E+4,1.97367637E+4,1.80998398E+4,1.65892402E+4,1.56597197E+4,1.42438604E+4,1.34985605E+4,1.26269385E+4,1.16563643E+4,9.31940723E+3,8.89201758E+3,8.56463281E+3,7.96460352E+3,7.69406396E+3,7.51300195E+3,7.29088574E+3,
483.7500,1.48114075E+3,1.56646960E+3,1.90673169E+3,3.33836060E+3,6.69568311E+3,1.06492539E+4,1.56225586E+4,1.97436270E+4,2.27933438E+4,2.54680352E+4,2.66847617E+4,2.71956816E+4,2.66499980E+4,2.54069355E+4,2.39015664E+4,2.23361504E+4,2.04410059E+4,1.92390273E+4,1.75187559E+4,1.60123320E+4,1.44848398E+4,1.39918291E+4,1.32723271E+4,1.18996914E+4,9.71379688E+3,9.01641797E+3,8.58871973E+3,7.98825732E+3,7.69118652E+3,7.68275928E+3,7.13602246E+3,
484.00,1.59078357E+3,1.64138501E+3,2.03670898E+3,4.09871875E+3,8.21746680E+3,1.34125508E+4,1.85148652E+4,2.29340605E+4,2.61377656E+4,2.83536875E+4,2.99782051E+4,2.98885977E+4,2.91749063E+4,2.76737305E+4,2.55326563E+4,2.37236523E+4,2.14413164E+4,1.94362324E+4,1.81469512E+4,1.64011992E+4,1.52278779E+4,1.42306074E+4,1.33851416E+4,1.21127256E+4,9.81035938E+3,9.16308203E+3,8.87844824E+3,8.15737793E+3,7.90015381E+3,7.42471094E+3,7.26341846E+3,
484.2500,1.68415063E+3,1.70208960E+3,2.55366187E+3,5.49881494E+3,1.08224619E+4,1.67307070E+4,2.28267832E+4,2.70825352E+4,3.03231523E+4,3.26910938E+4,3.34930703E+4,3.26488848E+4,3.15482773E+4,2.95654961E+4,2.75035723E+4,2.50754824E+4,2.28204512E+4,2.07289824E+4,1.92421602E+4,1.73828398E+4,1.58379805E+4,1.48122949E+4,1.37053555E+4,1.26311299E+4,9.85481348E+3,9.37151758E+3,8.99268848E+3,8.43974707E+3,8.20654102E+3,7.56073877E+3,7.36235498E+3,
484.500,1.74494287E+3,1.76078674E+3,3.11913818E+3,7.10757910E+3,1.33078301E+4,2.01988750E+4,2.61730879E+4,3.07055020E+4,3.41182813E+4,3.62117891E+4,3.65392305E+4,3.60480703E+4,3.37982344E+4,3.14300977E+4,2.87957832E+4,2.62491387E+4,2.42844922E+4,2.16142656E+4,1.96253262E+4,1.78032754E+4,1.67089902E+4,1.51742432E+4,1.41538955E+4,1.27881494E+4,1.01770732E+4,9.53486621E+3,9.06694336E+3,8.57789453E+3,8.06455127E+3,7.73394189E+3,7.47410156E+3,
484.7500,1.85553162E+3,1.95914539E+3,3.82524976E+3,8.91078125E+3,1.57091104E+4,2.25476172E+4,2.88659395E+4,3.35634492E+4,3.66443711E+4,3.81774297E+4,3.87177031E+4,3.75314297E+4,3.55881445E+4,3.22661621E+4,3.04254316E+4,2.75559668E+4,2.46949590E+4,2.24788945E+4,2.03220371E+4,1.79727539E+4,1.67484199E+4,1.57217979E+4,1.45260107E+4,1.29358574E+4,1.01869219E+4,9.58321289E+3,8.97844727E+3,8.44451953E+3,8.04592334E+3,7.69807764E+3,7.36609082E+3,
485.00,2.17586255E+3,2.40233838E+3,5.40261572E+3,1.12412500E+4,1.89276758E+4,2.57992090E+4,3.23670117E+4,3.65504688E+4,3.98862266E+4,4.06926484E+4,4.11826406E+4,3.99285586E+4,3.83495742E+4,3.50762578E+4,3.20336484E+4,2.86830742E+4,2.61717305E+4,2.32307188E+4,2.12347656E+4,1.89308496E+4,1.74735723E+4,1.60035957E+4,1.51897637E+4,1.34372207E+4,1.05829883E+4,9.75222363E+3,9.20825879E+3,8.72673242E+3,8.25155664E+3,7.81659521E+3,7.55731201E+3,
485.2500,2.53664917E+3,3.01134375E+3,7.61418604E+3,1.59541885E+4,2.40960488E+4,3.14485176E+4,3.80243086E+4,4.20189492E+4,4.48957266E+4,4.56204805E+4,4.52951875E+4,4.35839570E+4,4.06563203E+4,3.71914727E+4,3.38781484E+4,3.01854902E+4,2.72885820E+4,2.43090254E+4,2.17246953E+4,1.98206191E+4,1.79663438E+4,1.63663682E+4,1.53597607E+4,1.37608457E+4,1.07293691E+4,1.01910996E+4,9.36250293E+3,8.72463281E+3,8.16729004E+3,7.98610107E+3,7.44359277E+3,
485.500,3.46160693E+3,4.45988184E+3,1.22179980E+4,2.35289551E+4,3.33653086E+4,4.08666914E+4,4.67778398E+4,5.05226992E+4,5.20121563E+4,5.25478906E+4,5.10223672E+4,4.80317852E+4,4.48714648E+4,4.02598789E+4,3.62752617E+4,3.21474316E+4,2.86094434E+4,2.52380098E+4,2.24744531E+4,2.06943203E+4,1.82638750E+4,1.67818438E+4,1.55300225E+4,1.39811572E+4,1.08176543E+4,1.01546123E+4,9.46292773E+3,8.95795508E+3,8.41585254E+3,8.19731445E+3,7.61383789E+3,
485.7500,4.91558008E+3,7.41691797E+3,2.02698633E+4,3.54860703E+4,4.74415078E+4,5.49858828E+4,5.94213750E+4,6.21553242E+4,6.24803359E+4,6.09466094E+4,5.78090508E+4,5.32068008E+4,4.87097031E+4,4.33862617E+4,3.83676523E+4,3.36103320E+4,3.02189219E+4,2.64716953E+4,2.36623359E+4,2.10335430E+4,1.88221680E+4,1.71832871E+4,1.62751592E+4,1.42730264E+4,1.09665869E+4,1.01731689E+4,9.48915137E+3,9.17688281E+3,8.45887695E+3,8.16997461E+3,8.00428076E+3,
486.00,7.43851563E+3,1.19026885E+4,3.11513750E+4,5.01501641E+4,6.25250039E+4,6.94786094E+4,7.30612188E+4,7.36503438E+4,7.22423984E+4,6.79366719E+4,6.34533555E+4,5.84330234E+4,5.22620859E+4,4.56806719E+4,4.06720391E+4,3.55347305E+4,3.12768574E+4,2.74496641E+4,2.42413730E+4,2.16370938E+4,1.92997305E+4,1.81597617E+4,1.65540195E+4,1.46005459E+4,1.11274658E+4,1.04171123E+4,9.79820996E+3,9.21971875E+3,8.71141113E+3,8.18715234E+3,7.76285400E+3,
486.2500,1.31625156E+4,1.98188438E+4,4.25745234E+4,6.07865195E+4,7.27255313E+4,7.83436406E+4,8.04232734E+4,7.91305547E+4,7.77143203E+4,7.30769297E+4,6.72639531E+4,6.08972656E+4,5.41376445E+4,4.82117969E+4,4.23189609E+4,3.69223398E+4,3.23243516E+4,2.82300332E+4,2.50174043E+4,2.19506582E+4,1.97230078E+4,1.83046387E+4,1.69320566E+4,1.51015928E+4,1.14097852E+4,1.04003145E+4,9.76460352E+3,9.29074902E+3,8.93722070E+3,8.41757813E+3,7.82552588E+3,
486.500,3.38967852E+4,4.03168086E+4,5.89680391E+4,7.14071719E+4,7.87047344E+4,8.20283047E+4,8.30210000E+4,8.22223672E+4,7.87612500E+4,7.37369766E+4,6.88502500E+4,6.31286328E+4,5.62351836E+4,4.88693789E+4,4.32725156E+4,3.81288203E+4,3.30704258E+4,2.85686250E+4,2.57398066E+4,2.28310156E+4,2.04137773E+4,1.81106289E+4,1.72522813E+4,1.51133389E+4,1.15242676E+4,1.05049111E+4,1.00538789E+4,9.39812109E+3,8.68265234E+3,8.28706543E+3,8.06847998E+3,
486.7500,1.08113625E+5,1.10229797E+5,1.11703211E+5,1.08019672E+5,1.06260109E+5,1.01672227E+5,9.85737813E+4,9.33709063E+4,8.85951094E+4,8.23117344E+4,7.51870078E+4,6.72284219E+4,5.94118320E+4,5.19539883E+4,4.53620469E+4,3.90594492E+4,3.48943750E+4,3.00748047E+4,2.63015742E+4,2.32842715E+4,2.07773242E+4,1.85618594E+4,1.76062734E+4,1.55947383E+4,1.16741660E+4,1.07025645E+4,9.86549219E+3,9.36581152E+3,8.84370898E+3,8.39634570E+3,7.93403418E+3,
487.00,1.94084875E+5,1.90686172E+5,1.70577313E+5,1.53250281E+5,1.39293063E+5,1.28053531E+5,1.18920141E+5,1.09632789E+5,1.01558883E+5,9.09308828E+4,8.16959219E+4,7.19852109E+4,6.30923633E+4,5.46677891E+4,4.70867422E+4,4.09521992E+4,3.54655352E+4,3.08384316E+4,2.70954844E+4,2.40410410E+4,2.12602910E+4,1.89467402E+4,1.75601055E+4,1.56709912E+4,1.14341143E+4,1.08418281E+4,1.01469082E+4,9.50651172E+3,8.89284375E+3,8.44488770E+3,7.99265479E+3,
